L10 Median,FG T,Minutes Diff,Rest Days,Points,Line,OU Result
8.0,0.46656947481584365,0.32947543143888797,2,2,9.5,0
5.0,0.10900254924177159,-0.34554988853323515,2,15,10.5,1
14.0,0.7244071573259102,0.9374590373614615,2,15,15.5,0
20.0,0.4273030877357862,-0.22548719635784956,2,12,16.5,0
29.0,0.9535730701082409,2.2322949731028223,2,33,29.5,1
14.0,0.23570226039551562,1.329316904137969,2,17,15.5,1
8.0,1.4863210712350767,1.1664461872795213,2,2,7.5,0
22.0,0.026527905453864457,-0.3923399425857424,2,28,23.5,1
22.0,-1.322989085385068,-1.1051286363776605,2,33,27.5,1
9.0,0.06642722213932559,0.25275763912267996,2,18,11.5,1
7.0,1.2450654075302434,1.7289893297140397,2,6,10.5,0
7.0,0.45491310848253713,0.13808504990403994,2,5,8.5,0
11.0,0.18144368465060606,-1.5441760643828948,2,8,10.5,0
14.0,-0.24845199749997676,-1.0021711780303637,2,9,9.5,0
19.0,1.5478014972164613,1.3694982103102884,2,7,23.5,0
13.0,-0.23969749850222494,1.5865125504002904,2,4,10.5,0
39.0,0.40736825432410123,-0.027777777777777683,2,18,32.5,0
19.0,0.7668108316688947,0.7766431633476227,2,2,15.5,0
9.0,-0.9573988296168426,-0.3836469862636366,2,16,8.5,1
21.0,-1.1930566493181316,-1.1664461872795213,2,13,17.5,0
12.0,0.10411584125907034,1.6950446031032758,2,14,8.5,1
19.0,-2.0193071611160955,-2.2231654182844003,2,14,22.5,0
8.0,0.7241051372683712,1.0917063007145202,2,15,10.5,1
17.0,0.4286602863736999,-1.4444444444444429,2,20,21.5,0
12.5,-1.1052859253352443,-0.03613146867649672,2,27,11.5,1
33.0,0.7226479799975011,0.677630927178936,2,44,27.5,1
9.0,-1.0345883127007176,-0.8936938548808144,2,11,8.5,1
22.0,-0.056254395046300996,-0.7448452997421301,2,19,21.5,0
19.0,0.9331389496316873,0.7981307535841284,2,13,19.5,0
6.0,0.16137430609197573,-0.12056070554260304,2,3,7.5,0
20.5,-0.44126130406091424,0.2919371040605711,2,4,16.5,0
10.0,-0.31652097680399843,0.9642857142857199,2,15,10.5,1
12.0,0.5009760338971283,0.6377928041432803,2,11,10.5,1
26.0,-0.43449309151624355,0.1976423537605237,2,35,27.5,1
11.5,0.04536092116265129,-0.24385655500206718,2,11,11.5,0
7.5,-0.40824829046386346,0.9064221752548939,2,6,8.5,0
14.0,0.2631174057921086,0.6963575181639445,2,30,15.5,1
18.0,0.3167931967631541,0.11180339887498948,2,5,15.5,0
15.0,0.14142135623730961,0.9810229431759461,2,19,15.5,1
23.5,0.0,-0.06459367867098566,2,27,24.5,1
22.5,-0.2708333333333335,-0.8004617736624862,2,33,27.5,1
9.5,0.8357039923266483,0.5625000000000036,2,16,11.5,1
2.0,0.666666666666667,0.3777477332962085,2,9,2.5,1
7.0,0.29488391230979455,1.3237927271540726,2,15,9.5,1
7.0,0.3423265984407288,-0.1920553198993444,2,11,7.5,1
5.5,-0.29185861579350914,-0.3432974497625242,2,2,3.5,0
6.0,0.6998542122237655,1.0497813183356466,2,6,6.5,0
14.0,-0.7956678185424977,1.0366138571589725,2,18,14.5,1
8.0,2.0286020648339487,1.5659205853725433,2,10,9.5,1
8.0,-0.5048267902790239,0.6367392907917738,2,7,6.5,1
9.0,-0.35136418446315343,1.1952286093343938,2,17,8.5,1
6.0,0.042126273187113324,-0.12323745508964444,2,0,6.5,0
20.0,-0.6666666666666673,-0.11664236870395563,2,14,19.5,0
9.0,0.4195932352823749,-0.1938006332446039,2,5,6.5,0
22.0,-0.7808338908385973,-0.5078556267557525,2,9,22.5,0
8.0,0.15272070966424317,0.2042489496315947,2,17,9.5,1
29.0,-0.10838069111202904,-1.6415617649233794,2,18,28.5,0
11.0,0.3713352969827039,-0.41002560966570545,2,21,15.5,1
29.0,-0.7581753965757448,0.6660245913306931,2,34,30.5,1
