,Player,Over,Under
0,Bilal Coulibaly,"O
 7.5
−110","U
 7.5
−120"
1,Bogdan Bogdanovic,"O
 18.5
−120","U
 18.5
−110"
2,Clint Capela,"O
 14.5
−110","U
 14.5
−120"
3,Corey Kispert,"O
 12.5
−105","U
 12.5
−125"
4,Daniel Gafford,"O
 11.5
−130","U
 11.5
+100"
5,Dejounte Murray,"O
 21.5
−115","U
 21.5
−115"
6,Deni Avdija,"O
 13.5
+100","U
 13.5
−130"
7,Jalen Johnson,"O
 16.5
−115","U
 16.5
−115"
8,Jordan Poole,"O
 18.5
−115","U
 18.5
−115"
9,Kyle Kuzma,"O
 22.5
−125","U
 22.5
−105"
10,Saddiq Bey,"O
 15.5
+100","U
 15.5
−130"
11,Trae Young,"O
 28.5
−135","U
 28.5
+105"
12,Tyus Jones,"O
 13.5
−110","U
 13.5
−120"
13,Anthony Davis,"O
 30.5
−115","U
 30.5
−115"
14,Brandon Ingram,"O
 24.5
−115","U
 24.5
−115"
15,CJ McCollum,"O
 18.5
−110","U
 18.5
−120"
16,Jonas Valanciunas,"O
 13.5
−115","U
 13.5
−115"
17,Zion Williamson,"O
 23.5
−115","U
 23.5
−115"
18,Cameron Johnson,"O
 15.5
−130","U
 15.5
+100"
19,Chet Holmgren,"O
 18.5
−135","U
 18.5
+105"
20,Jalen Williams,"O
 16.5
−115","U
 16.5
−115"
21,Josh Giddey,"O
 10.5
+100","U
 10.5
−130"
22,Luguentz Dort,"O
 10.5
−115","U
 10.5
−115"
23,Mikal Bridges,"O
 22.5
−105","U
 22.5
−125"
24,Nicolas Claxton,"O
 11.5
−115","U
 11.5
−115"
25,Shai Gilgeous-Alexander,"O
 33.5
−135","U
 33.5
+105"
26,Spencer Dinwiddie,"O
 14.5
−115","U
 14.5
−115"
27,Devin Vassell,"O
 19.5
−105","U
 19.5
−125"
28,Jaylen Brown,"O
 23.5
−105","U
 23.5
−125"
29,Jayson Tatum,"O
 26.5
−125","U
 26.5
−105"
30,Jeremy Sochan,"O
 11.5
−110","U
 11.5
−120"
31,Kristaps Porzingis,"O
 19.5
−125","U
 19.5
−105"
32,Malaki Branham,"O
 10.5
−125","U
 10.5
−105"
33,Victor Wembanyama,"O
 17.5
−105","U
 17.5
−125"
34,De'Aaron Fox,"O
 30.5
−120","U
 30.5
−110"
35,Desmond Bane,"O
 24.5
−130","U
 24.5
+100"
36,Domantas Sabonis,"O
 21.5
+110","U
 21.5
−140"
37,Harrison Barnes,"O
 9.5
−130","U
 9.5
+100"
38,Ja Morant,"O
 26.5
−125","U
 26.5
−105"
39,Jaren Jackson Jr.,"O
 19.5
−110","U
 19.5
−120"
40,Keegan Murray,"O
 14.5
−105","U
 14.5
−125"
41,Marcus Smart,"O
 12.5
+100","U
 12.5
−130"
42,Bradley Beal,"O
 14.5
−120","U
 14.5
−110"
43,Devin Booker,"O
 26.5
−120","U
 26.5
−110"
44,Franz Wagner,"O
 22.5
−105","U
 22.5
−125"
45,Grayson Allen,"O
 11.5
−125","U
 11.5
−105"
46,Jusuf Nurkic,"O
 12.5
−145","U
 12.5
+114"
47,Kevin Durant,"O
 25.5
−135","U
 25.5
+105"
48,Paolo Banchero,"O
 23.5
−125","U
 23.5
−105"
