Date,Player,Line,Under,Over
2024-05-28,Aliyah Boston,12.5,-110.0,-120.0
2024-05-28,Caitlin Clark,19.5,-115.0,-115.0
2024-05-28,Cameron Brink,12.5,100.0,-130.0
2024-05-28,Dearica Hamby,18.5,-135.0,105.0
2024-05-28,Kelsey Mitchell,15.5,-135.0,105.0
2024-05-28,Lexie Brown,13.5,-115.0,-115.0
2024-05-28,Rickea Jackson,10.5,-130.0,100.0
2024-05-28,Alyssa Thomas,15.5,-115.0,-115.0
2024-05-28,Brionna Jones,11.5,-140.0,110.0
2024-05-28,DeWanna Bonner,19.5,-125.0,-105.0
2024-05-28,Diana Taurasi,15.5,-115.0,-115.0
2024-05-28,DiJonai Carrington,14.5,-115.0,-115.0
2024-05-28,Kahleah Copper,23.5,-120.0,-110.0
2024-05-28,Natasha Cloud,12.5,100.0,-130.0
2024-05-28,Sophie Cunningham,11.5,-105.0,-125.0
2024-05-28,Angel Reese,11.5,-110.0,-120.0
2024-05-28,Dana Evans,10.5,-130.0,100.0
2024-05-28,Elizabeth Williams,10.5,105.0,-135.0
2024-05-28,Ezi Magbegor,13.5,124.0,-160.0
2024-05-28,Jewell Loyd,21.5,-115.0,-115.0
2024-05-28,Marina Mabrey,18.5,-115.0,-115.0
2024-05-28,Nneka Ogwumike,19.5,114.0,-145.0
2024-05-28,Skylar Diggins-Smith,14.5,-105.0,-125.0
2024-05-29,Betnijah Laney,12.5,-115.0,-115.0
2024-05-29,Breanna Stewart,21.5,-115.0,-115.0
2024-05-29,Diana Taurasi,17.5,105.0,-135.0
2024-05-29,Jonquel Jones,12.5,-135.0,105.0
2024-05-29,Kahleah Copper,24.5,-110.0,-120.0
2024-05-29,Natasha Cloud,11.5,-115.0,-115.0
2024-05-29,Sabrina Ionescu,16.5,-115.0,-115.0
2024-05-29,Sophie Cunningham,10.5,-110.0,-120.0
2024-05-29,Allisha Gray,15.5,-110.0,-120.0
2024-05-29,Ariel Atkins,14.5,-110.0,-120.0
2024-05-29,Cheyenne Parker-Tyus,13.5,-115.0,-115.0
2024-05-29,Karlie Samuelson,10.5,-115.0,-115.0
2024-05-29,Rhyne Howard,20.5,120.0,-150.0
2024-05-29,Tina Charles,13.5,-115.0,-115.0
2024-05-29,A'ja Wilson,23.5,-120.0,-110.0
2024-05-29,Alanna Smith,13.5,-115.0,-115.0
2024-05-29,Courtney Williams,11.5,-115.0,-115.0
2024-05-29,Jackie Young,20.5,-115.0,-115.0
2024-05-29,Kayla McBride,14.5,-115.0,-115.0
2024-05-29,Kelsey Plum,20.5,105.0,-135.0
2024-05-29,Napheesa Collier,22.5,-110.0,-120.0
2024-05-30,Aliyah Boston,13.5,-115.0,-115.0
2024-05-30,Caitlin Clark,20.5,-110.0,-120.0
2024-05-30, Ezi Magbegor,13.5,-115.0,-115.0
2024-05-30,Jewell Loyd,21.5,-135.0,105.0
2024-05-30,Kelsey Mitchell,16.5,-110.0,-120.0
2024-05-30,NaLyssa Smith,12.5,-140.0,110.0
2024-05-30,Nneka Ogwumike,18.5,-140.0,110.0
2024-05-30,Skylar Diggins-Smith,15.5,-115.0,-115.0
2024-05-30,Angel Reese,12.5,-120.0,-110.0
2024-05-30,Cameron Brink,10.5,-105.0,-125.0
2024-05-30,Elizabeth Williams,10.5,-115.0,-115.0
2024-05-30,Kia Nurse,11.5,-110.0,-120.0
2024-05-30,Lexie Brown,11.5,-120.0,-110.0
2024-05-30,Marina Mabrey,17.5,-125.0,-105.0
2024-05-30,Rickea Jackson,11.5,-115.0,-115.0
2024-05-31,A'ja Wilson,25.5,-110.0,-120.0
2024-05-31,Cheyenne Parker-Tyus,13.5,105.0,-135.0
2024-05-31,Jackie Young,21.5,110.0,-140.0
2024-05-31,Kelsey Plum,19.5,-115.0,-115.0
2024-05-31,Rhyne Howard,20.5,130.0,-166.0
2024-05-31,Tina Charles,15.5,124.0,-160.0
2024-05-31,Alyssa Thomas,14.5,-125.0,-105.0
2024-05-31,Arike Ogunbowale,23.5,-125.0,-105.0
2024-05-31,Brionna Jones,11.5,-140.0,110.0
2024-05-31,DeWanna Bonner,19.5,-115.0,-115.0
2024-05-31,DiJonai Carrington,14.5,-120.0,-110.0
2024-05-31,Teaira McCowan,12.5,-120.0,-110.0
2024-05-31,Ariel Atkins,14.5,100.0,-130.0
2024-05-31,Betnijah Laney-Hamilton,12.5,-120.0,-110.0
2024-05-31,Breanna Stewart,21.5,-105.0,-125.0
2024-05-31,Jonquel Jones,14.5,105.0,-135.0
2024-05-31,Sabrina Ionescu,17.5,-115.0,-115.0
2024-05-31,Alanna Smith,12.5,-115.0,-115.0
2024-05-31,Courtney Williams,11.5,-110.0,-120.0
2024-05-31,Diana Taurasi,15.5,-105.0,-125.0
2024-05-31,Kahleah Copper,23.5,110.0,-140.0
2024-05-31,Kayla McBride,14.5,100.0,-130.0
2024-05-31,Napheesa Collier,22.5,100.0,-130.0
2024-05-31,Natasha Cloud,11.5,-120.0,-110.0
2024-06-01,Aliyah Boston,12.5,-125.0,-105.0
2024-06-01,Angel Reese,12.5,-110.0,-120.0
2024-06-01,Caitlin Clark,20.5,-120.0,-110.0
2024-06-01,Dana Evans,12.5,-105.0,-125.0
2024-06-01,Kelsey Mitchell,16.5,-105.0,-125.0
2024-06-01,Marina Mabrey,17.5,-110.0,-120.0
2024-06-01,NaLyssa Smith,14.5,105.0,-135.0
2024-06-02,Allisha Gray,16.5,-115.0,-115.0
2024-06-02,Alyssa Thomas,14.5,-110.0,-120.0
2024-06-02,Brionna Jones,14.5,-130.0,100.0
2024-06-02,Cheyenne Parker-Tyus,11.5,-125.0,-105.0
2024-06-02,DeWanna Bonner,19.5,100.0,-130.0
2024-06-02,DiJonai Carrington,12.5,-110.0,-120.0
2024-06-02,Rhyne Howard,18.5,100.0,-130.0
2024-06-02,Tina Charles,13.5,100.0,-130.0
2024-06-02,Cameron Brink,9.5,105.0,-135.0
2024-06-02,Dearica Hamby,18.5,-135.0,105.0
2024-06-02,Diana Taurasi,15.5,100.0,-130.0
2024-06-02,Kahleah Copper,22.5,-120.0,-110.0
2024-06-02,Kia Nurse,12.5,-120.0,-110.0
2024-06-02,Natasha Cloud,11.5,-110.0,-120.0
2024-06-02,Rickea Jackson,11.5,-105.0,-125.0
2024-06-02,Aliyah Boston,12.5,-115.0,-115.0
2024-06-02,Breanna Stewart,20.5,-110.0,-120.0
2024-06-02,Caitlin Clark,18.5,-110.0,-120.0
2024-06-02,Jonquel Jones,15.5,100.0,-130.0
2024-06-02,Kelsey Mitchell,15.5,-115.0,-115.0
2024-06-02,NaLyssa Smith,12.5,-150.0,120.0
2024-06-02,Sabrina Ionescu,17.5,-115.0,-115.0
2024-06-02,Alanna Smith,12.5,-115.0,-115.0
2024-06-02,Arike Ogunbowale,24.5,-110.0,-120.0
2024-06-02,Courtney Williams,11.5,-115.0,-115.0
2024-06-02,Kayla McBride,12.5,-115.0,-115.0
2024-06-02,Madison Siegrist,13.5,-110.0,-120.0
2024-06-02,Napheesa Collier,21.5,-115.0,-115.0
2024-06-02,Teaira McCowan,11.5,100.0,-130.0
2024-06-04,Alyssa Thomas,14.5,-115.0,-115.0
2024-06-04,Ariel Atkins,13.5,-130.0,100.0
2024-06-04,Brionna Jones,13.5,-145.0,114.0
2024-06-04,DeWanna Bonner,18.5,-115.0,-115.0
2024-06-04,DiJonai Carrington,12.5,-135.0,105.0
2024-06-04,Julie Vanloo,8.5,-115.0,-115.0
2024-06-04,Karlie Samuelson,9.5,-115.0,-115.0
2024-06-04,Stefanie Dolson,8.5,-110.0,-120.0
2024-06-04,Angel Reese,10.5,-120.0,-110.0
2024-06-04,Betnijah Laney-Hamilton,12.5,-120.0,-110.0
2024-06-04,Breanna Stewart,20.5,-110.0,-120.0
2024-06-04,Chennedy Carter,11.5,-105.0,-125.0
2024-06-04,Dana Evans,12.5,-115.0,-115.0
2024-06-04,Elizabeth Williams,8.5,105.0,-135.0
2024-06-04,Jonquel Jones,14.5,-120.0,-110.0
2024-06-04,Marina Mabrey,16.5,-140.0,110.0
2024-06-04,Sabrina Ionescu,18.5,-105.0,-125.0
2024-06-04,Diana Taurasi,15.5,-120.0,-110.0
2024-06-04, Ezi Magbegor,13.5,-110.0,-120.0
2024-06-04,Jewell Loyd,21.5,-110.0,-120.0
2024-06-04,Kahleah Copper,21.5,-135.0,105.0
2024-06-04,Natasha Cloud,11.5,-120.0,-110.0
2024-06-04,Nneka Ogwumike,18.5,-110.0,-120.0
2024-06-04,Skylar Diggins-Smith,15.5,-135.0,105.0
2024-06-07,Ariel Atkins,13.5,-135.0,105.0
2024-06-07,Caitlin Clark,17.5,-130.0,100.0
2024-06-07,Kelsey Mitchell,16.5,-105.0,-125.0
2024-06-07,NaLyssa Smith,14.5,100.0,-130.0
2024-06-07,A'ja Wilson,26.5,-115.0,-115.0
2024-06-07,Ezi Magbegor,13.5,-115.0,-115.0
2024-06-07,Jackie Young,19.5,-110.0,-120.0
2024-06-07,Jewell Loyd,20.5,-110.0,-120.0
2024-06-07,Kelsey Plum,19.5,-110.0,-120.0
2024-06-07,Nneka Ogwumike,18.5,100.0,-130.0
2024-06-07,Skylar Diggins-Smith,15.5,-115.0,-115.0
2024-06-07,Kayla McBride,14.5,-110.0,-120.0
2024-06-07,Napheesa Collier,22.5,-105.0,-125.0
2024-06-07,Arike Ogunbowale,24.5,-130.0,100.0
2024-06-07,Dearica Hamby,17.5,-125.0,-105.0
2024-06-07,Kia Nurse,11.5,-115.0,-115.0
2024-06-07,Maddy Siegrist,12.5,-130.0,100.0
2024-06-07,Monique Billings,13.5,100.0,-130.0
2024-06-07,Teaira McCowan,12.5,-115.0,-115.0
2024-06-07,Ariel Atkins,13.5,-135.0,105.0
2024-06-07,Caitlin Clark,17.5,-135.0,105.0
2024-06-07,Kelsey Mitchell,16.5,-105.0,-125.0
2024-06-07,NaLyssa Smith,14.5,-110.0,-120.0
2024-06-07,A'ja Wilson,26.5,100.0,-130.0
2024-06-07, Ezi Magbegor,13.5,-115.0,-115.0
2024-06-07,Jackie Young,19.5,-110.0,-120.0
2024-06-07,Jewell Loyd,20.5,-110.0,-120.0
2024-06-07,Kelsey Plum,19.5,-110.0,-120.0
2024-06-07,Nneka Ogwumike,18.5,100.0,-130.0
2024-06-07,Skylar Diggins-Smith,15.5,-115.0,-115.0
2024-06-07,Kayla McBride,14.5,-120.0,-110.0
2024-06-07,Napheesa Collier,22.5,-105.0,-125.0
2024-06-07,Arike Ogunbowale,24.5,-130.0,100.0
2024-06-07,Dearica Hamby,17.5,-135.0,105.0
2024-06-07,Kia Nurse,11.5,-115.0,-115.0
2024-06-07,Maddy Siegrist,12.5,-140.0,110.0
2024-06-07,Monique Billings,13.5,100.0,-130.0
2024-06-07,Teaira McCowan,12.5,-115.0,-115.0
2024-06-07,Ariel Atkins,13.5,-135.0,105.0
2024-06-07,Caitlin Clark,17.5,-135.0,105.0
2024-06-07,Kelsey Mitchell,16.5,-105.0,-125.0
2024-06-07,NaLyssa Smith,14.5,-110.0,-120.0
2024-06-07,A'ja Wilson,26.5,100.0,-130.0
2024-06-07, Ezi Magbegor,13.5,-115.0,-115.0
2024-06-07,Jackie Young,19.5,-110.0,-120.0
2024-06-07,Jewell Loyd,20.5,-110.0,-120.0
2024-06-07,Kelsey Plum,19.5,-110.0,-120.0
2024-06-07,Nneka Ogwumike,18.5,100.0,-130.0
2024-06-07,Skylar Diggins-Smith,15.5,-115.0,-115.0
2024-06-07,Kayla McBride,14.5,-120.0,-110.0
2024-06-07,Napheesa Collier,22.5,-105.0,-125.0
2024-06-07,Arike Ogunbowale,24.5,-130.0,100.0
2024-06-07,Dearica Hamby,17.5,-135.0,105.0
2024-06-07,Kia Nurse,11.5,-115.0,-115.0
2024-06-07,Maddy Siegrist,12.5,-140.0,110.0
2024-06-07,Monique Billings,13.5,100.0,-130.0
2024-06-07,Teaira McCowan,12.5,-115.0,-115.0
2024-06-08,Alyssa Thomas,13.5,-115.0,-115.0
2024-06-08,Betnijah Laney-Hamilton,13.5,-110.0,-120.0
2024-06-08,Breanna Stewart,20.5,-120.0,-110.0
2024-06-08,Brionna Jones,14.5,114.0,-145.0
2024-06-08,DeWanna Bonner,19.5,100.0,-130.0
2024-06-08,Jonquel Jones,13.5,-110.0,-120.0
2024-06-08,Sabrina Ionescu,16.5,-125.0,-105.0
2024-06-08,Allisha Gray,15.5,-120.0,-110.0
2024-06-08,Angel Reese,11.5,-105.0,-125.0
2024-06-08,Marina Mabrey,15.5,-110.0,-120.0
2024-06-08,Rhyne Howard,15.5,-145.0,114.0
2024-06-08,Tina Charles,11.5,-110.0,-120.0
2024-06-09,Ariel Atkins,13.5,-115.0,-115.0
2024-06-09,Betnijah Laney-Hamilton,12.5,-115.0,-115.0
2024-06-09,Breanna Stewart,20.5,-110.0,-120.0
2024-06-09,Jonquel Jones,13.5,-120.0,-110.0
2024-06-09,Sabrina Ionescu,18.5,-105.0,-125.0
2024-06-09,Arike Ogunbowale,25.5,-120.0,-110.0
2024-06-09,Brittney Griner,14.5,100.0,-130.0
2024-06-09,Diana Taurasi,14.5,-115.0,-115.0
2024-06-09,Kahleah Copper,22.5,-110.0,-120.0
2024-06-09,Maddy Siegrist,13.5,-120.0,-110.0
2024-06-09,Monique Billings,12.5,-130.0,100.0
2024-06-09,Teaira McCowan,11.5,100.0,-130.0
2024-06-09, Ezi Magbegor,13.5,-120.0,-110.0
2024-06-09,Jewell Loyd,19.5,-125.0,-105.0
2024-06-09,Kayla McBride,15.5,100.0,-130.0
2024-06-09,Napheesa Collier,22.5,-110.0,-120.0
2024-06-09,Nneka Ogwumike,16.5,-110.0,-120.0
2024-06-09,Skylar Diggins-Smith,15.5,-110.0,-120.0
2024-06-09,A'ja Wilson,28.5,-125.0,-105.0
2024-06-09,Dearica Hamby,19.5,-120.0,-110.0
2024-06-09,Kelsey Plum,20.5,-115.0,-115.0
2024-06-10,Alyssa Thomas,12.5,-125.0,-105.0
2024-06-10,Brionna Jones,12.5,-125.0,-105.0
2024-06-10,Caitlin Clark,19.5,-115.0,-115.0
2024-06-10,DeWanna Bonner,19.5,100.0,-130.0
2024-06-10,DiJonai Carrington,11.5,-130.0,100.0
2024-06-10,Kelsey Mitchell,15.5,-115.0,-115.0
2024-06-10,NaLyssa Smith,13.5,-110.0,-120.0
2024-06-11,Allisha Gray,15.5,-120.0,-110.0
2024-06-11,Ariel Atkins,13.5,-115.0,-115.0
2024-06-11,Rhyne Howard,14.5,-105.0,-125.0
2024-06-11,Tina Charles,12.5,-125.0,-105.0
2024-06-11,A'ja Wilson,27.5,-120.0,-110.0
2024-06-11,Jackie Young,18.5,-105.0,-125.0
2024-06-11,Kayla McBride,16.5,105.0,-135.0
2024-06-11,Kelsey Plum,18.5,-105.0,-125.0
2024-06-11,Napheesa Collier,21.5,-110.0,-120.0
2024-06-11,Dearica Hamby,19.5,100.0,-130.0
2024-06-11, Ezi Magbegor,13.5,-115.0,-115.0
2024-06-11,Jewell Loyd,21.5,-120.0,-110.0
2024-06-11,Nneka Ogwumike,17.5,-105.0,-125.0
2024-06-11,Skylar Diggins-Smith,15.5,-115.0,-115.0
