L10 Median,Kalman,DARKO,Relative Performance,Home,Recent T,Spread,Points,Line,OU Result
12.0,9.379600669021773,11.251601293566257,10.0,1.0,0.3332011368842186,-15.0,11.0,13.5,0.0
18.5,18.884307774585636,17.374804437220607,10.0,1.0,0.03184008123254015,-15.0,20.0,20.5,0.0
16.5,11.54053305816991,14.3807853006727,10.0,1.0,1.382660758559566,-15.0,14.0,16.5,0.0
9.5,10.096944442109063,9.069459256860604,10.0,1.0,-0.08504645412579981,-15.0,23.0,12.5,1.0
12.0,9.670732961718109,11.218841371312902,-8.111111111111114,1.0,0.4201698529803083,1.0,10.0,12.5,0.0
20.0,19.182105962117323,17.716619860017147,-8.111111111111114,1.0,0.09711999699316459,1.0,11.0,20.5,0.0
16.0,11.614495596637532,14.331204884497401,-8.111111111111114,1.0,1.130823178904157,1.0,18.0,16.5,1.0
11.0,12.085190107029105,10.88329504929173,-8.111111111111114,1.0,0.05185368347864479,1.0,17.0,14.5,1.0
14.5,16.01034316596978,15.881326106399138,7.375,1.0,0.06162862204822723,19.0,31.0,15.5,1.0
20.5,20.364849418172053,23.810124148000288,7.375,1.0,-0.7799665812877262,19.0,12.0,22.5,0.0
10.0,11.865324428453636,11.224139383232826,7.375,1.0,0.10685021764640487,19.0,21.0,11.5,1.0
11.5,9.507166202742274,11.073325817271185,-10.299999999999997,0.0,1.2193913017194116,-36.0,5.0,12.5,0.0
18.0,15.792680187175323,18.370910928167124,20.125,1.0,-0.5514109665703558,36.0,13.0,20.5,0.0
18.5,16.947486902383886,16.914733180403374,-10.299999999999997,0.0,-0.19526804472106704,-36.0,3.0,18.5,0.0
15.0,16.948921828556486,14.477076270467808,20.125,1.0,-0.4884641102008669,36.0,18.0,15.5,1.0
16.5,12.174662410282464,14.769216562196567,-10.299999999999997,0.0,1.0495960377400646,-36.0,21.0,15.5,1.0
12.0,13.160725362040447,11.613558831569875,-10.299999999999997,0.0,-0.046625240412015934,-36.0,17.0,12.5,1.0
17.0,16.991397193486094,17.72719915087572,20.125,1.0,0.9115662277345906,36.0,16.0,17.5,0.0
13.0,12.596495415839758,13.499625892292595,-4.75,1.0,-0.6525912514317401,17.0,7.0,14.5,0.0
15.5,14.774813953277198,13.75842320329888,-15.375,0.0,-0.2842726621888412,-17.0,9.0,13.5,0.0
12.5,12.26375027022439,13.479559574656967,-4.75,1.0,1.0984052619764697,17.0,15.0,13.5,1.0
19.5,19.28357307094492,18.739639169389044,-4.75,1.0,-0.7695095939010371,17.0,20.0,18.5,1.0
14.5,13.001480799570619,12.566541997875264,-4.75,1.0,-0.8348010207943436,17.0,4.0,12.5,0.0
10.0,6.5725250486460585,8.75110795016132,-15.375,0.0,0.4722749083849174,-17.0,5.0,8.5,0.0
8.0,8.00671884269849,9.544018141036691,-15.375,0.0,-0.5968070111141935,-17.0,9.0,9.5,0.0
8.5,10.07874186572128,7.463777997956469,-15.375,0.0,-0.34680673881766927,-17.0,5.0,8.5,0.0
13.0,14.682147227561972,12.62099472315786,1.8888888888888857,0.0,-0.4411928331541021,13.0,14.0,12.5,1.0
18.0,14.985783839665983,17.649862293079508,1.8888888888888857,0.0,-0.5587651851242184,13.0,33.0,20.5,1.0
16.0,17.418590944800833,14.950031301871359,1.8888888888888857,0.0,-0.48599368212319854,13.0,5.0,14.5,0.0
16.0,17.044919247408846,17.4953214290293,1.8888888888888857,0.0,0.6492280838600517,13.0,24.0,18.5,1.0
15.0,20.132308391956514,17.855289880462,-18.444444444444443,0.0,0.15014868681947605,-18.0,7.0,15.5,0.0
14.5,14.557978525753908,13.691272045579215,-4.5,1.0,0.3511234415883917,18.0,21.0,13.5,1.0
19.5,19.128330429545706,19.954049196103124,-4.5,1.0,0.2657619585805972,18.0,15.0,21.5,0.0
20.0,17.55228915481459,22.26813988407586,-18.444444444444443,0.0,-0.8062988912196447,-18.0,19.0,21.5,0.0
11.0,13.909454896645336,12.500520820757844,-18.444444444444443,0.0,0.17306452291046923,-18.0,10.0,11.5,0.0
17.0,14.058685330992075,14.568287138365024,-4.5,1.0,-0.3210669722683215,18.0,17.0,15.5,1.0
12.5,12.507540646646966,12.710857358097412,10.5,1.0,-0.40180173029888655,-2.0,16.0,13.5,1.0
14.0,13.329090646025612,15.403658418009895,7.63636363636364,0.0,-0.2315867555535425,2.0,30.0,17.5,1.0
17.0,12.912952655581618,15.445850420764822,7.63636363636364,0.0,0.9119983287614974,2.0,16.0,16.5,0.0
12.0,13.909668227613349,12.198501079704027,7.63636363636364,0.0,0.41934457177407536,2.0,10.0,14.5,0.0
15.0,15.16225688778719,14.710634724505828,-6.0,0.0,0.7686955509521278,13.0,14.0,13.5,1.0
19.0,17.956595689277822,19.26309820003829,-6.0,0.0,0.5437833942342198,13.0,25.0,20.5,1.0
17.0,14.471564767344137,14.907442919299132,-6.0,0.0,0.0335424609710833,13.0,21.0,15.5,1.0
13.0,15.36246187546993,15.729733783064649,-6.333333333333329,0.0,0.28610085643053945,-1.0,25.0,14.5,1.0
20.0,21.01176706440712,21.64253654916058,-6.333333333333329,0.0,-0.5605428140029003,-1.0,20.0,22.5,0.0
24.5,26.019768904083197,26.947516165472955,-10.375,0.0,-0.11168429809194183,-9.0,22.0,24.5,0.0
19.0,20.018711771181447,20.335072285369094,5.444444444444443,1.0,-0.21971058460295856,9.0,22.0,17.5,1.0
13.0,12.902386051780383,11.930065330999831,5.444444444444443,1.0,-0.17534954246573625,9.0,0.0,11.5,0.0
13.5,13.791754869963016,13.716697182318761,-10.375,0.0,1.0323630403185862,-9.0,21.0,12.5,1.0
12.5,13.204775532328929,12.341892519055817,-10.375,0.0,-0.5019296494452846,-9.0,6.0,12.5,0.0
12.5,12.507540646646966,12.710857358097412,10.5,1.0,-0.40180173029888655,-2.0,16.0,13.5,1.0
14.0,13.329090646025612,15.403658418009895,7.63636363636364,0.0,-0.2315867555535425,2.0,30.0,17.5,1.0
17.0,12.912952655581618,15.445850420764822,7.63636363636364,0.0,0.9119983287614974,2.0,16.0,16.5,0.0
12.0,13.909668227613349,12.198501079704027,7.63636363636364,0.0,0.41934457177407536,2.0,10.0,14.5,0.0
15.0,15.16225688778719,14.710634724505828,-6.0,0.0,0.7686955509521278,13.0,14.0,13.5,1.0
19.0,17.956595689277822,19.26309820003829,-6.0,0.0,0.5437833942342198,13.0,25.0,20.5,1.0
17.0,14.471564767344137,14.907442919299132,-6.0,0.0,0.0335424609710833,13.0,21.0,15.5,1.0
13.0,15.36246187546993,15.729733783064649,-6.333333333333329,0.0,0.28610085643053945,-1.0,25.0,14.5,1.0
20.0,21.01176706440712,21.64253654916058,-6.333333333333329,0.0,-0.5605428140029003,-1.0,20.0,22.5,0.0
24.5,26.019768904083197,26.947516165472955,-10.375,0.0,-0.11168429809194183,-9.0,22.0,24.5,0.0
19.0,20.018711771181447,20.335072285369094,5.444444444444443,1.0,-0.21971058460295856,9.0,22.0,17.5,1.0
13.0,12.902386051780383,11.930065330999831,5.444444444444443,1.0,-0.17534954246573625,9.0,0.0,11.5,0.0
13.5,13.791754869963016,13.716697182318761,-10.375,0.0,1.0323630403185862,-9.0,21.0,12.5,1.0
12.5,13.204775532328929,12.341892519055817,-10.375,0.0,-0.5019296494452846,-9.0,6.0,12.5,0.0
12.5,12.507540646646966,12.710857358097412,10.5,1.0,-0.40180173029888655,-2.0,16.0,13.5,1.0
14.0,13.329090646025612,15.403658418009895,7.63636363636364,0.0,-0.2315867555535425,2.0,30.0,17.5,1.0
17.0,12.912952655581618,15.445850420764822,7.63636363636364,0.0,0.9119983287614974,2.0,16.0,16.5,0.0
12.0,13.909668227613349,12.198501079704027,7.63636363636364,0.0,0.41934457177407536,2.0,10.0,14.5,0.0
15.0,15.16225688778719,14.710634724505828,-6.0,0.0,0.7686955509521278,13.0,14.0,13.5,1.0
19.0,17.956595689277822,19.26309820003829,-6.0,0.0,0.5437833942342198,13.0,25.0,20.5,1.0
17.0,14.471564767344137,14.907442919299132,-6.0,0.0,0.0335424609710833,13.0,21.0,15.5,1.0
13.0,15.36246187546993,15.729733783064649,-6.333333333333329,0.0,0.28610085643053945,-1.0,25.0,14.5,1.0
20.0,21.01176706440712,21.64253654916058,-6.333333333333329,0.0,-0.5605428140029003,-1.0,20.0,22.5,0.0
24.5,26.019768904083197,26.947516165472955,-10.375,0.0,-0.11168429809194183,-9.0,22.0,24.5,0.0
19.0,20.018711771181447,20.335072285369094,5.444444444444443,1.0,-0.21971058460295856,9.0,22.0,17.5,1.0
13.0,12.902386051780383,11.930065330999831,5.444444444444443,1.0,-0.17534954246573625,9.0,0.0,11.5,0.0
13.5,13.791754869963016,13.716697182318761,-10.375,0.0,1.0323630403185862,-9.0,21.0,12.5,1.0
12.5,13.204775532328929,12.341892519055817,-10.375,0.0,-0.5019296494452846,-9.0,6.0,12.5,0.0
13.0,11.787003972068485,12.62609581135699,-5.2222222222222285,1.0,-1.4009001730026693,-7.0,10.0,13.5,0.0
13.0,14.813289373339796,13.04036378616854,-3.5454545454545467,0.0,0.5837942114437306,7.0,10.0,13.5,0.0
19.0,21.27114838638158,20.15158190200558,-3.5454545454545467,0.0,0.10926250156690093,7.0,13.0,20.5,0.0
15.0,12.632518303377875,13.68390217372603,-5.2222222222222285,1.0,0.8225672710623035,-7.0,13.0,14.5,0.0
20.0,19.38031764070724,18.909027856771377,-5.2222222222222285,1.0,-0.8660312566322362,-7.0,16.0,19.5,0.0
14.0,13.826755215592542,13.307383524045102,-3.5454545454545467,0.0,0.04848529921130681,7.0,22.0,13.5,1.0
17.5,17.071657047230026,17.353973482224568,-3.5454545454545467,0.0,0.6507382495695522,7.0,24.0,16.5,1.0
17.5,15.058099487791418,16.17177782921075,13.875,0.0,-0.323926918484721,9.0,14.0,15.5,0.0
12.0,11.829439547317627,11.482875882439577,1.2222222222222285,1.0,-0.31767590660981365,-9.0,13.0,11.5,1.0
15.0,15.408102039967122,15.720844597970556,1.2222222222222285,1.0,-0.9111129969241697,-9.0,12.0,15.5,0.0
15.5,15.943147022045817,15.037149944124383,13.875,0.0,-0.6844890644451964,9.0,10.0,15.5,0.0
12.0,13.385995763058911,11.401959758173641,13.875,0.0,-0.252543249229359,9.0,22.0,11.5,1.0
12.5,13.480219819575325,13.084995693618461,14.545454545454547,0.0,0.3601788934610793,-5.0,13.0,13.5,0.0
13.0,14.069683797289619,12.719690440876148,7.75,1.0,0.2617878489162093,5.0,5.0,12.5,0.0
18.0,19.089973144570816,19.397290029736343,7.75,1.0,0.2408522913287775,5.0,14.0,20.5,0.0
15.0,15.353686534460735,14.224211443575426,7.75,1.0,-0.03748645753478135,5.0,29.0,13.5,1.0
19.5,18.52112192491994,18.05494340103904,7.75,1.0,0.5764874448901305,5.0,19.0,18.5,1.0
24.0,24.876786908698868,26.268980660354345,8.777777777777771,1.0,-1.1391579795154636,-7.0,25.0,25.5,0.0
14.0,14.856694636689557,16.04216394358915,18.181818181818187,0.0,-0.14114685590522563,7.0,20.0,14.5,1.0
